Question,Equation,Answer,Numbers
P = number0 . V = number1 . U = number2 . X = number3 . B = number4 . ( V + B ) * U / I = X . I ?,/ * + number1 number4 number2 number3,20,614 1548 46 3956.0 172
J = number0 . L = number1 . P = number2 . Z = number3 . H = number4 . ( E + P + J ) * H = number5 . E ?,- - / number5 number4 number0 number2,42,993 480 619 637 2 3308
V = number0 . U = number1 . C = number2 . D = number3 . C * U - K = D . K ?,- * number2 number1 number3,45,165 73 30 2145
C = number0 . N = number1 . M = number2 . B = number3 . R = number4 . M * B * R / C = O . O ?,/ * * number2 number3 number4 number0,1584.0,52 876 96 39 22
E = number0 . M = number1 . Q = number2 . O = number3 . M - O - N - E = number4 . N ?,- - number1 number3 + number4 number0,390,95 1327 335 48 794
N = number0 . G = number1 . W = number2 . T = number3 . W * N - G - number4 = X . X ?,- - * number2 number0 number1 number4,2948,2 17 1484 968 3
G = number0 . R = number1 . N = number2 . C = number3 . R / F + C = G . F ?,/ number1 - number0 number3,43,19.0 301 205 12
X = number0 . Y = number1 . J = number2 . H = number3 . K = number4 . ( number5 + P ) * K = Y . P ?,- / number1 number4 number5,100,785 5538 708 990 26 113
U = number0 . Z = number1 . J = number2 . F = number3 . C = number4 . N = number5 . U / Z * N - R = F . R ?,- * / number0 number1 number5 number3,38,15 5 479 139.0 409 59
B = number0 . P = number1 . N = number2 . number3 * M + B - number4 = N . M ?,/ - + number2 number4 number0 number3,18,188 838 6288 339 2
Y = number0 . I = number1 . U = number2 . number3 / U * T + number4 = I . T ?,/ - number1 number4 / number3 number2,36,670 1660.0 313 939 1552
P = number0 . X = number1 . Z = number2 . M = number3 . B = number4 . C = number5 . Z + P = G . G ?,+ number2 number0,200,53 996 147 422 32 827
M = number0 . U = number1 . G = number2 . B = number3 . D = number4 . P = number5 . M + S - P + B = U . S ?,- + - number1 number3 number5 number0,45,75 410 133 318 670 28
Y = number0 . Z = number1 . K = number2 . S + number3 - K - Y = number4 . S ?,- + + number4 number0 number2 number3,59,132 933 10 102 19
P = number0 . V = number1 . I = number2 . R = number3 . O = number4 . P * number5 - R = K . K ?,- * number0 number5 number3,129,35 132 692 46 666 5
T = number0 . P = number1 . H = number2 . T * P * J = H . J ?,/ number2 * number0 number1,73,29 3 6351
Y = number0 . number1 + Y = U . U ?,+ number1 number0,377,305 72
H = number0 . V * number1 = H . V ?,/ number0 number1,473,3784 8
Q = number0 . N = number1 . L = number2 . Y = number3 . Z = number4 . L / Y * Q / B = N . B ?,/ * / number2 number3 number0 number1,7,7 2.0 6 3 574
R = number0 . D = number1 . D / R = E . E ?,/ number1 number0,17.0,2 34
R = number0 . U = number1 . F = number2 . P = number3 . Y / P = U . Y ?,* number1 number3,856,781 428.0 392 2
F = number0 . R = number1 . Z = number2 . P = number3 . P - X - Z - F = R . X ?,- number3 + + number1 number0 number2,1374,82 254 75 1785
Q = number0 . F = number1 . V = number2 . ( number3 - V ) * F / Q = H . H ?,/ * - number3 number2 number1 number0,26.0,94 26 4 98
F = number0 . G = number1 . H = number2 . D * H / G * F = number3 . D ?,/ * / number3 number0 number1 number2,290,42 4640 64 168.0
I = number0 . M = number1 . L = number2 . J = number3 . R = number4 . O - number5 = L . O ?,+ number2 number5,298,818 756 196 413 404 102
V = number0 . U = number1 . J = number2 . I = number3 . F = number4 . B = number5 . X * V - F + I = B . X ?,/ + - number5 number3 number4 number0,53,45 835 131 20 72 2333
Q = number0 . Y = number1 . Z = number2 . J = number3 . K = number4 . K * Q + C = Y . C ?,- number1 * number4 number0,1187,91 8376 640 217 79
G = number0 . H = number1 . W = number2 . ( W - G ) / J = H . J ?,/ - number2 number0 number1,-1,78 65.0 13
X = number0 . S = number1 . N = number2 . Q = number3 . P = number4 . V - X = number5 . V ?,+ number5 number0,96,67 216 464 349 73 29
D = number0 . L = number1 . O = number2 . K = number3 . Y = number4 . J = number5 . S / K = O . S ?,* number2 number3,895,553 64 179.0 5 566 953
Y = number0 . B = number1 . L = number2 . D = number3 . O = number4 . L - Y + number5 = Z . Z ?,+ - number2 number0 number5,359,92 845 72 805 673 379
H = number0 . I = number1 . Q = number2 . Y = number3 . ( number4 - Q ) * L - Y = H . L ?,/ + number0 number3 - number4 number2,4,7140 967 37 72 1840
C = number0 . Y = number1 . Q = number2 . ( C - Q - Y ) * number3 = M . M ?,* - - number0 number2 number1 number3,252,97 44 49 63
Z = number0 . W = number1 . F = number2 . P = number3 . J = number4 . X = number5 . ( F * P + J ) / M = X . M ?,/ + * number2 number3 number4 number5,1009,16 693 48 98 341 5.0
S = number0 . T = number1 . K = number2 . S + T + Q = K . Q ?,- number2 + number0 number1,29,789 148 966
U = number0 . P = number1 . N = number2 . P / number3 * number4 / N = O . O ?,/ * / number1 number3 number4 number2,2.0,866 134 1541 2 46
W = number0 . N = number1 . I = number2 . N / W + I = S . S ?,+ / number1 number0 number2,1497.0,25 75 1494
C = number0 . G = number1 . I = number2 . T = number3 . V = number4 . I - P = T . P ?,- number2 number3,16,89 317 28 12 833
N = number0 . Q = number1 . D = number2 . G = number3 . B = number4 . D * Q * G - B = Y . Y ?,- * * number2 number1 number3 number4,9852,744 39 85 3 93
L = number0 . R = number1 . O = number2 . L * O + R = S . S ?,+ * number0 number2 number1,7384,78 676 86
M = number0 . D = number1 . U = number2 . B = number3 . X = number4 . ( X - M ) / T * number5 = D . T ?,/ - number4 number0 / number1 number5,3,3 930.0 18 482 96 30
G = number0 . S = number1 . X = number2 . D = number3 . Q = number4 . Y = number5 . X * T + G + Q = Y . T ?,/ - - number5 number4 number0 number2,13,1314 871 389 475 86 6457
I = number0 . B = number1 . F = number2 . ( O - number3 ) * F - I = B . O ?,+ / + number1 number0 number2 number3,64,8 1512 38 24
V = number0 . W = number1 . I = number2 . ( F + I ) * W = number3 . F ?,- / number3 number1 number2,837,205 8 209 8368
B = number0 . H = number1 . X = number2 . V = number3 . number4 * T * X = number5 . T ?,/ / number5 number2 number4,41,164 741 18 67 2 1476
Y = number0 . W = number1 . Z = number2 . R = number3 . E = number4 . G = number5 . Y / X = E . X ?,/ number0 number4,2,10 345 664 880 5.0 638
D = number0 . M = number1 . ( number2 * M - D ) / number3 = Z . Z ?,/ - * number2 number1 number0 number3,5874.0,60 90 327 5
E = number0 . Z = number1 . J = number2 . E - N - Z = J . N ?,- number0 + number2 number1,200,306 6 100
E = number0 . F = number1 . L = number2 . D = number3 . ( N / F + number4 ) * E = number5 . N ?,* - / number5 number0 number4 number1,51,2 3 736 487 1830 3694.0
G = number0 . E = number1 . N = number2 . X = number3 . N + number4 + X = J . J ?,+ + number2 number4 number3,313,989 54 169 8 136
R = number0 . N = number1 . K = number2 . K * R + T = number3 . T ?,- number3 * number2 number0,38,28 177 78 2222
E = number0 . S = number1 . N = number2 . N * S + number3 + E = C . C ?,+ + * number2 number1 number3 number0,4335,1246 8 380 49
Z = number0 . S = number1 . G = number2 . ( G + C ) / S + number3 = number4 . C ?,- * - number4 number3 number1 number2,43,166 29 160 92 99.0
G = number0 . V = number1 . L = number2 . ( J - G ) / V + L = number3 . J ?,+ * - number3 number2 number1 number0,1968,421 7 123 344.0
V = number0 . Z = number1 . H = number2 . Q = number3 . J = number4 . M / V / J - Q = number5 . M ?,* * + number5 number3 number4 number0,236,2 991 860 47 2 12.0
G = number0 . F = number1 . Q = number2 . H = number3 . T * G + H + Q = number4 . T ?,/ - - number4 number2 number3 number0,27,97 592 876 1271 4766
L = number0 . U = number1 . R = number2 . E = number3 . Y = number4 . M = number5 . R / V / E * M = U . V ?,/ number2 * / number1 number5 number3,15,396 180.0 570 19 417 90
F = number0 . U = number1 . V = number2 . Q = number3 . X = number4 . B = number5 . ( B + X - S ) * F = U . S ?,- + number5 number4 / number1 number0,72,38 4332 27 152 8 178
Y = number0 . C = number1 . I = number2 . Z = number3 . I / J / number4 = Z . J ?,/ number2 * number3 number4,3,206 668 75 5.0 5
V = number0 . Z = number1 . S = number2 . D = number3 . F = number4 . F / Z * C - V = D . C ?,/ + number3 number0 / number4 number1,83,55 9 304 194.0 27
H = number0 . U = number1 . E = number2 . I = number3 . W * E - number4 = U . W ?,/ + number1 number4 number2,34,118 3160 93 667 2
G = number0 . F = number1 . N = number2 . T = number3 . F - P + G = number4 . P ?,- number1 - number4 number0,297,61 384 721 232 148
Z = number0 . L = number1 . I = number2 . X = number3 . L - number4 + G = number5 . G ?,- number5 - number1 number4,96,301 468 525 521 183 381
P = number0 . W = number1 . T = number2 . ( P + W ) * T = L . L ?,* + number0 number1 number2,8708,45 577 14
L = number0 . Q = number1 . G = number2 . Q * P + G = L . P ?,/ - number0 number2 number1,50,4873 91 323
P = number0 . I = number1 . L = number2 . L - P - U - number3 = I . U ?,- - number2 number0 + number1 number3,75,1374 254 1785 82
R = number0 . Q = number1 . B = number2 . S = number3 . ( R - Z ) * S / B = Q . Z ?,- number0 / * number1 number2 number3,26,153 254.0 29 58
B = number0 . O = number1 . L = number2 . M = number3 . B * number4 + S + number5 = M . S ?,- - number3 number5 * number0 number4,1314,389 871 475 6457 13 86
D = number0 . G = number1 . O = number2 . O / J * G = number3 . J ?,/ number2 / number3 number1,330,882 60 990 180.0
Y = number0 . R = number1 . U = number2 . P = number3 . J = number4 . ( P + R + Y ) / J = B . B ?,/ + + number3 number1 number0 number4,82.0,1585 6 977 49 20
F = number0 . C = number1 . U = number2 . S = number3 . L = number4 . ( S - number5 ) * C + L = E . E ?,+ * - number3 number5 number1 number4,1490,141 4 452 368 86 17
D = number0 . B = number1 . ( B - number2 ) * number3 = U . U ?,* - number1 number2 number3,9849,640 311 110 49
U = number0 . J = number1 . S * J = U . S ?,/ number0 number1,64,5760 90
J = number0 . I = number1 . V = number2 . R = number3 . W = number4 . W + H = I . H ?,- number1 number4,1026,766 2135 559 647 1109
I = number0 . O = number1 . Q = number2 . G = number3 . X = number4 . ( B - I + O ) * Q = X . B ?,+ - / number4 number2 number1 number0,65,4 356 21 732 8757
O = number0 . X = number1 . Y = number2 . D = number3 . F = number4 . U = number5 . F + K - D - Y = O . K ?,- + + number0 number2 number3 number4,361,352 201 83 4 78 113
M = number0 . C = number1 . I = number2 . ( C - number3 ) * X - M = I . X ?,/ + number2 number0 - number1 number3,48,7 126 4553 31
B = number0 . J = number1 . L = number2 . H = number3 . G = number4 . H * G / J / B = O . O ?,/ / * number3 number4 number1 number0,5.0,41 63 708 1435 9
F = number0 . K = number1 . ( number2 + F ) * J = K . J ?,/ number1 + number2 number0,14,577 8708 45
O = number0 . G = number1 . H = number2 . R = number3 . W = number4 . H / number5 * T = R . T ?,/ number3 / number2 number5,2,91 214 56 8.0 561 14
V = number0 . R = number1 . V / number2 / number3 = X . X ?,/ / number0 number2 number3,3.0,81 466 9 3
C = number0 . T = number1 . P = number2 . M = number3 . N = number4 . R = number5 . T / C / N * M = G . G ?,* / / number1 number0 number4 number3,612.0,3 306 680 18 3 949
D = number0 . N = number1 . C = number2 . V = number3 . E = number4 . W = number5 . ( E + W + C ) * N = B . B ?,* + + number4 number5 number2 number1,3308,480 2 993 637 42 619
U = number0 . Q = number1 . C = number2 . E = number3 . G = number4 . ( E - G ) / number5 - U = D . D ?,- / - number3 number4 number5 number0,34.0,13 524 700 331 2 7
O = number0 . O * number1 + number2 = Z . Z ?,+ * number0 number1 number2,3067,39 78 25
Y = number0 . F = number1 . U = number2 . X = number3 . T = number4 . ( Y + E + U ) / number5 = T . E ?,- - * number4 number5 number2 number0,42,7 606 23 429 24.0 3
Q = number0 . E = number1 . R = number2 . S = number3 . K = number4 . ( Q + R ) * S * F = E . F ?,/ number1 * + number0 number2 number3,2,384 1820 71 2 983
E = number0 . K = number1 . E / N = K . N ?,/ number0 number1,445,890 2.0
I = number0 . G = number1 . M = number2 . N = number3 . ( I + M ) * number4 = U . U ?,* + number0 number2 number4,9870,1233 87 177 216 7
X = number0 . W = number1 . V = number2 . ( number3 + W ) / number4 / B = V . B ?,/ / + number3 number1 number4 number2,2,666 94 2.0 138 58
X = number0 . R = number1 . number2 / V + X = R . V ?,/ number2 - number1 number0,353,29 31.0 706
R = number0 . M = number1 . D = number2 . N = number3 . M + F - number4 - N = number5 . F ?,- + + number5 number3 number4 number1,230,517 40 300 92 13 165
R = number0 . C = number1 . E = number2 . I = number3 . X = number4 . C * O + I - E = X . O ?,/ - + number4 number2 number3 number1,23,382 296 3 2 6807
P = number0 . T = number1 . E = number2 . F + E = T . F ?,- number1 number2,181,900 1004 823
F = number0 . K = number1 . J = number2 . ( J * Q + F ) / number3 = K . Q ?,/ - * number1 number3 number0 number2,6,80 577.0 179 2
X = number0 . U = number1 . F = number2 . Y = number3 . U * number4 + F + X = P . P ?,+ + * number1 number4 number2 number0,2598,165 87 84 518 27
Y = number0 . H = number1 . V = number2 . U = number3 . V / H = F . F ?,/ number2 number1,2.0,937 662 1324 816
T = number0 . W = number1 . G = number2 . C = number3 . ( C + X ) * T = G . X ?,- / number2 number0 number3,978,2 412 2756 400
W = number0 . D = number1 . Q = number2 . I = number3 . X = number4 . W / Q - I - X = T . T ?,- - / number0 number2 number3 number4,4.0,64 295 2 4 24
F = number0 . C = number1 . K = number2 . H = number3 . S = number4 . O = number5 . K * Z * O * C = F . Z ?,/ / / number0 number1 number5 number2,37,9990 27 2 576 729 5
E = number0 . Q = number1 . V = number2 . Q / T - number3 - E = V . T ?,/ number1 + + number2 number0 number3,2,69 568 126.0 89
J = number0 . X = number1 . W = number2 . F = number3 . ( P + F ) / X / W = J . P ?,- * * number0 number2 number1 number3,79,5.0 9 2 11
L = number0 . N = number1 . Y = number2 . E = number3 . F = number4 . ( number5 + N ) * G = L . G ?,/ number0 + number5 number1,26,5538 100 990 708 785 113
Z = number0 . U = number1 . K = number2 . B = number3 . ( Z * B + U ) * T = K . T ?,/ number2 + * number0 number3 number1,2,347 10 3490 5
B = number0 . K = number1 . J = number2 . J / B + S = K . S ?,- number1 / number2 number0,376,2 395.0 38
L = number0 . N = number1 . X = number2 . C = number3 . L + R + C - N = X . R ?,- - + number2 number1 number3 number0,83,718 55 774 28
S = number0 . Z = number1 . K = number2 . R = number3 . G = number4 . ( V + G + Z ) * S = R . V ?,- - / number3 number0 number1 number4,84,5 71 97 2100 265
E = number0 . S = number1 . C = number2 . T = number3 . ( E + O ) / T = number4 . O ?,- * number4 number3 number0,9,192 813 788 67 3.0
N = number0 . U = number1 . I = number2 . W = number3 . F = number4 . Z / I + F + U = number5 . Z ?,* - - number5 number1 number4 number2,166,34 17 2 523 65 165.0
F = number0 . B = number1 . H = number2 . Y = number3 . H * number4 / Y + D = B . D ?,- number1 / * number2 number4 number3,195,77 568.0 1865 185 37
X = number0 . T = number1 . Y = number2 . K = number3 . V = number4 . ( V + X + T ) * number5 = U . U ?,* + + number4 number0 number1 number5,3084,198 1267 849 839 77 2
P = number0 . E = number1 . D = number2 . I = number3 . R = number4 . ( D + P ) / K - E = R . K ?,/ + number2 number0 + number4 number1,4,94 150 1170 745 166.0
B = number0 . E = number1 . O = number2 . Q = number3 . V = number4 . L = number5 . ( V + E ) / Q - C = B . C ?,- / + number4 number1 number3 number0,227,161.0 513 644 4 1039 343
U = number0 . E = number1 . C = number2 . number3 * E / U - C = V . V ?,- / * number3 number1 number0 number2,39.0,31 87 48 31
Y = number0 . Q = number1 . F = number2 . P = number3 . E = number4 . T = number5 . ( Y - I ) / P - E = F . I ?,- number0 * + number2 number4 number3,34,98 699 29.0 2 3 624
B = number0 . G = number1 . Q = number2 . J = number3 . H / number4 * number5 = B . H ?,* / number0 number5 number4,34,1156.0 585 117 439 2 68
E = number0 . R = number1 . K = number2 . T = number3 . I = number4 . ( M - number5 ) * I + R = K . M ?,+ / - number2 number1 number4 number5,396,658 68 8258 806 91 306
W = number0 . B = number1 . J = number2 . L = number3 . number4 + J = M . M ?,+ number4 number2,1250,379 700 134 898 1116
